,tweet id, tweet, label,tweet_cleaned
32,'325821934245912576',He's upset with me and I'm trying to understand why ..,off-topic,he 's upset with me and i 'm trying to understand why . <repeat>
33,'325249752771985408',Never lack keep the strapp,off-topic,never lack keep the strapp
34,'327202691119988736',Delta Duck races was a blast! I'll be training my duck for next year @BaylorTriDelta #stjude,off-topic,delta duck races was a blast ! i 'll be training my duck for next year <user> <hashtag> stjude
35,'324728057527160832',Just because something bad happens doesn't mean the world is gone end !,off-topic,just because something bad happens does n't mean the world is gone end !
36,'326187505898622976',@UncleLuke02 if I'm correct I believe he scored at least as many as Lin,off-topic,<user> if i 'm correct i believe he scored at least as many as lin
37,'327220755840528384',Davis has to write his words to know 3xs each. He spent his work time at school making this - it works BTW http://t.co/WMxC8JYtpR,off-topic,davis has to write his words to know <number> xs each . he spent his work time at school making this - it works btw <allcaps> <url>
38,'325125889115435009',Top three things  you'll hear us say at soccer games 1.Lets GoTrojans 2.Ah Ah Ah Ah 3.Dang bro you changed (insert reason they changed) lol,off-topic,top three things you 'll hear us say at soccer games <number> lets gotrojans <number> ah ah ah ah <number> dang bro you changed -LRB- insert reason they changed -RRB- lol
39,'326188879143112704',@Natalia__Malik haha it's okay. Lol I can still see the tweet though. And yeah I do too. :/,off-topic,<user> haha it 's okay . lol i can still see the tweet though . and yeah i do too . : /
40,'328014442094796800',Home chillen on Friday night,off-topic,home chillen on friday night
41,'327974220489441280',Finally out of work.. 13 hours work days aren't so bad,off-topic,finally out of work . <repeat> <number> hours work days are n't so bad
42,'326320160304676865',Thank God For Another Day That Was Not Promises.,off-topic,thank god for another day that was not promises .
43,'327138220884242432',In memory of those who lost there life in west tax this past week #west @ I-35 South http://t.co/iHMWeNzhm6,on-topic,in memory of those who lost there life in west tax this past week <hashtag> west @ i <number> south <url>
44,'326770234751070208',@sydneyjones18 @eden_starnes whatever Sydney. You're such a flaker!,off-topic,<user> <user> whatever sydney . you 're such a flaker !
45,'324762802432667650',Ok no but seriously.. i need sleep,off-topic,ok no but seriously . <repeat> i need sleep
46,'327839288240779264',@mgrcaxo you get on my nerves. lol.,off-topic,<user> you get on my nerves . lol .
47,'325255678295937024',Ill throw a bitch some money if she acting right &amp; fuck me good,off-topic,ill throw a bitch some money if she acting right & fuck me good
48,'325789693990039553',I guess it's not meant for me to run under the lights,off-topic,i guess it 's not meant for me to run under the lights
49,'325427501885181954',3 hours of volleyball today. 7 hours total yesterday. Potentially 2 more hours now. #LEAD #thisisthegoodlife,off-topic,<number> hours of volleyball today . <number> hours total yesterday . potentially <number> more hours now . <hashtag> lead <allcaps> <allcaps> <hashtag> thisisthegoodlife
50,'325087970468188162',"@WhoaOhLaney wow, your life seems boring... just kidding ;) I just read play scripts all day.",off-topic,"<user> wow , your life seems boring . <repeat> just kidding <smile> i just read play scripts all day ."
51,'326901332638302209',You're closer@ThatIsTRAGIC: Predict your own death! @TomCatOnTop: @ThatIsTRAGIC it's gonna implode !,off-topic,you 're closer <user> : predict your own death ! <user> : <user> it 's gon na implode !
52,'324337740642672640',If mart had a soccer team I'd be on it,off-topic,if mart had a soccer team i 'd be on it
53,'326886649143365633',"Watchig breaking Dawn , Bout to get all in my feelings ....",off-topic,"watchig breaking dawn , bout to get all in my feelings . <repeat>"
54,'327863763598471168',@seanbonnn I see you with the invite.,off-topic,<user> i see you with the invite .
55,'327216938474430465',Ha you and yo girl scary,off-topic,ha you and yo girl scary
56,'324734278552408065',"This is crazy! CAUGHT ON CAMERA: Fertilizer Plant Explosion Near Waco, Texas http://t.co/FGnRORZW11",on-topic,"this is crazy ! caught <allcaps> on <allcaps> camera <allcaps> : fertilizer plant explosion near waco , texas <url>"
57,'325320019124838402',Welp... On to this work.,off-topic,welp . <repeat> on to this work .
58,'327096217546944512',@TweetEm_B: So If You Hoes No Yo Place Why PLEX With The Nexts Hoe?!!!!!,off-topic,<user> : so if you hoes no yo place why plex <allcaps> with the nexts hoe ! <repeat>
59,'325683745485115393',@cantstopBen I better not find any of your shenanigans on my bed...,off-topic,<user> i better not find any of your shenanigans on my bed . <repeat>
60,'324701092116066308',So bosquevillians... What the heck happened In west?,on-topic,so bosquevillians . <repeat> what the heck happened in west ?
61,'327880747904016385',"I'm at @SamsOnTheSquare (Waco, TX) http://t.co/FEZj4gX4H1",off-topic,"i 'm at <user> -LRB- waco , tx <allcaps> -RRB- <url>"
62,'325095657327181824',Nigga wanna be messy ill start hurting feelins,off-topic,nigga wan na be messy ill start hurting feelins
63,'324534562367619075',"Just because I dont react, doesnt mean I didn't notice..",off-topic,"just because i dont react , doesnt mean i did n't notice . <repeat>"
64,'327610058353561600',Stop accepting unsolicited opinions for your life and do what you know what placed on your heart to do! - Tony G,off-topic,stop accepting unsolicited opinions for your life and do what you know what placed on your heart to do ! - tony g
65,'327155748910026752',"On a good man's passing, it is a solemn privilege to glimpse his profession, community, family and faith. RIP, Luckey Harris.",off-topic,"on a good man 's passing , it is a solemn privilege to glimpse his profession , community , family and faith . rip <allcaps> , luckey harris ."
66,'325416960693256193',when I fall in love it's always the same and I'm so tired of playing this game,off-topic,when i fall in love it 's always the same and i 'm so tired of playing this game
67,'324748150365626369',Why niggas faking on me?,off-topic,why niggas faking on me ?
68,'324530053910249474',I hate going to the doctor  #boo http://t.co/yzHyU94FMw,off-topic,i hate going to the doctor <hashtag> boo <url>
69,'325686185890574336',Number one reason my town is better than your town. (@ Schmaltz's Sandwich Shoppe) http://t.co/56OOY47kFc,off-topic,number one reason my town is better than your town . -LRB- @ schmaltz 's sandwich shoppe -RRB- <url>
70,'326841478452240384',He need to txt me tho,off-topic,he need to txt me tho
71,'327142712035909632',If I get one more on the Baylor horizon email... #okaywegetit,off-topic,if i get one more on the baylor horizon email . <repeat> <hashtag> okaywegetit
72,'324543762091098114',I Wanna Fade The D !,off-topic,i wan na fade the d !
73,'327828876489269250',"I wanna get my nails done but then I'm like, hmmm better not.",off-topic,"i wan na get my nails done but then i 'm like , hm <elong> better not ."
74,'325022498032852995',"Salted caramel &amp; cake batter. Ummmm, need to go to the gym. @ Oso's Oh So Good Yogurt http://t.co/0Da6emnIko",off-topic,"salted caramel & cake batter . um <elong> , need to go to the gym . @ oso 's oh so good yogurt <url>"
75,'325620252778053633',"@kmfaho I suppose that's the big difference between Anglo-American and continental, eh?",off-topic,"<user> i suppose that 's the big difference between anglo-american and continental , eh ?"
76,'324952711181246464',Waiting in line with 200 other people to donate blood in Waco to donate to West. #prayersforwest @ http://t.co/4ZALy9yLqg,on-topic,waiting in line with <number> other people to donate blood in waco to donate to west . <hashtag> prayersforwest @ <url>
77,'326127045316845569',Got a Real Bitch in her feelings nshit,off-topic,got a real bitch in her feelings nshit
78,'326543756436336640',Awkwardly waiting in the front of HEB for my mom.... So embarrassing,off-topic,awkwardly waiting in the front of heb <allcaps> for my mom . <repeat> so embarrassing
79,'327833843539275777',"I'm at West, TX (West, TX) w/ 4 others http://t.co/zrpU6KH0J4",off-topic,"i 'm at west , tx <allcaps> -LRB- west , tx <allcaps> -RRB- w / <number> others <url>"
80,'326108887390515201',This has been quite the experience,off-topic,this has been quite the experience
81,'324771141501714433',Thanks to Nick Wright for dropping by a donation of clothes at our station. 5501 Bagby.  We'll get it where it needs to go.,off-topic,thanks to nick wright for dropping by a donation of clothes at our station . <number> bagby . we 'll get it where it needs to go .
82,'328241668002295810',My 1000th tweet is a CONGRATS to @RSwope25 .Huge fan!,off-topic,my <number> th tweet is a congrats <allcaps> to <user> . huge fan !
83,'324581337438773249',ew why do you think my ex is prettier than you?!  I wouldn't downgrade!,off-topic,ew why do you think my ex is prettier than you ! <repeat> i would n't downgrade !
84,'324567288063877122',@Abadabadou3 @BarryHartweg dass true...he's earned a good 2 1/2 oreos,off-topic,<user> <user> dass true . <repeat> he 's earned a good <number> <number> / <number> oreos
85,'328035426164166656',"I want to go home. I miss New York. I miss my dad. I would like to use my start life over card now, please.",off-topic,"i want to go home . i miss new york . i miss my dad . i would like to use my start life over card now , please ."
86,'325288788156895232',My niggas animals they savages,off-topic,my niggas animals they savages
87,'324650490535243776',Preparing myself for the onslaught of Dia tweets &amp; pictures. I'll be waking up at 4:45 and heading to work. #notabaylorstudent #alumprob,off-topic,preparing myself for the onslaught of dia tweets & pictures . i 'll be waking up at <number> and heading to work . <hashtag> notabaylorstudent <hashtag> alumprob
88,'327614597567750144',You can't look at all the things that you don't have you have to maximize what you do have.,off-topic,you ca n't look at all the things that you do n't have you have to maximize what you do have .
89,'325750768755933185',@Yng_Blackk Lol I Bet Yal Are Bro High As A Kite,off-topic,<user> lol i bet yal are bro high as a kite
90,'327412767806087169',Chillin naw i aint going to cheat today -_-,off-topic,chillin naw i aint going to cheat today -_-
91,'325855750972899328',Cant trust her no more. Point Blank Period,off-topic,cant trust her no more . point blank period
92,'326197999074156544',Make sure the right people in your corner..,off-topic,make sure the right people in your corner . <repeat>
93,'324502282228097024',I would be the one to hit my face on a door an d give myself a black eye.. #cool,off-topic,i would be the one to hit my face on a door an d give myself a black eye . <repeat> <hashtag> cool
94,'325102695927123968',"@LizVaughan09 this is my promise ring, I've had it for almost 3 years so It wasn't a big deal that he didnt have it http://t.co/Ks8StKH2Dg",off-topic,"<user> this is my promise ring , i 've had it for almost <number> years so it was n't a big deal that he didnt have it <url>"
95,'326378298110246913',"@thatgirl_kei I know right! I told her I'm off sorry, I'll work till 2:00 then IM OUT!",off-topic,"<user> i know right ! i told her i 'm off sorry , i 'll work till <number> then im <allcaps> out <allcaps> !"
96,'325344856710975489',Also totals from last two days will be up as well,off-topic,also totals from last two days will be up as well
97,'324878211915857922',Macey is ok. Thank god she finally answered her text.,off-topic,macey is ok . thank god she finally answered her text .
98,'324373174286442496',@Great_One_: Ouch. That's a good one.,off-topic,<user> : ouch . that 's a good one .
99,'324752953011490816',I need some sleep. Class in the am.,off-topic,i need some sleep . class in the am .
100,'326051413274791936',"@sportsexperts17 @ronfromlasvegas I took Spurs -4.5 1st Half, but I won't argue with your pick. Took it before seeing Nash was back. GL men",off-topic,"<user> <user> i took spurs <number> <number> st half , but i wo n't argue with your pick . took it before seeing nash was back . gl <allcaps> men"
101,'326400051842781184',Trick don't kill my vibe,off-topic,trick do n't kill my vibe
102,'324326389820047360',Yes It's Gone Off Guesa I Watch Reruns Of The Game,off-topic,yes it 's gone off guesa i watch reruns of the game
103,'325459627351359488',They all came up to me and hugged me!,off-topic,they all came up to me and hugged me !
104,'326464110982209536',@amandablack14 That's what a G-Big is for! #spoilyou #whatilivefor,off-topic,<user> that 's what a g-big is for ! <hashtag> spoilyou <hashtag> whatilivefor
105,'326904770793205761',@bcartttt It's pat. Fat pat. Broken iPad pat. Pat. Everyone knows Pat. Also notoriously known as Fat Pat. That's who. Pat. You know. Fat pat,off-topic,<user> it 's pat . fat pat . broken ipad pat . pat . everyone knows pat . also notoriously known as fat pat . that 's who . pat . you know . fat pat
106,'328295158623895552',My best friend is a COLT!!!! LOVE YOU @LennySampson3,off-topic,my best friend is a colt <allcaps> ! <repeat> love <allcaps> you <allcaps> <user>
107,'325303524202254336',@EW: 'Big Bang Theory' REPEAT beats 'American Idol' http://t.co/ECIaDuS8wa of course!,off-topic,<user> : ` big bang theory ' repeat <allcaps> beats ` american idol ' <url> of course !
108,'326910403156246528',@BonaFideBeauty if u worth them heals that dress the length of that ponytail and that door... I paid with a 5 and want my change back,off-topic,<user> if u worth them heals that dress the length of that ponytail and that door . <repeat> i paid with a <number> and want my change back
109,'326893165275648002',#InElementarySchool recess was the best part,off-topic,<hashtag> inelementaryschool recess was the best part
110,'326016775122722819',She got a big booty so I call her big booty.,off-topic,she got a big booty so i call her big booty .
111,'326122669177200640',I haven't had this much fun in a while,off-topic,i have n't had this much fun in a while
112,'327167373637464065',@Ginger_Charm I'm sorry  I'm being depressive I miss him &amp; want him home so bad! Or at least be able to talk to him!,off-topic,<user> i 'm sorry i 'm being depressive i miss him & want him home so bad ! or at least be able to talk to him !
113,'326780601489305600',@KissMyKlass08 not to mention pulling females in a respectful way sees very little positive results these days,off-topic,<user> not to mention pulling females in a respectful way sees very little positive results these days
114,'325808058364215297',@ASVPfabe ohh haha that won't work then lol what your gamer tag ill add you when I get home,off-topic,<user> ohh haha that wo n't work then lol what your gamer tag ill add you when i get home
115,'325249480385507328',The money is a must,off-topic,the money is a must
116,'327106864095588352',Super Heroes To The Rescue! (: #ILoveMyTPCKids @ Tennyson Playcare Center http://t.co/qANRNYJViW,off-topic,super heroes to the rescue ! -LRB- : <hashtag> il <allcaps> ovemytpck <allcaps> ids @ tennyson playcare center <url>
117,'325693174280495105',"#WestTX city hall lawn full of journalists and photographers @ West, TX http://t.co/SGILIaLegl",on-topic,"<hashtag> westtx <allcaps> city hall lawn full of journalists and photographers @ west , tx <allcaps> <url>"
118,'327469811443572737',@hillcody715: We can just be friends. #fiveterriblewords #friendzoned,off-topic,<user> : we can just be friends . <hashtag> fiveterriblewords <hashtag> friendzoned
119,'327089137742143489',A Bad attitude really is the only disability in life,off-topic,a bad attitude really is the only disability in life
120,'325245505418432513',Shoot a nigga up then so what thats what he get for being so tough,off-topic,shoot a nigga up then so what thats what he get for being so tough
121,'327279651418415105',Okay somebody else kik me,off-topic,okay somebody else kik me
122,'325125021351702528',@teresabelia @Eemma___theres a word for that : infamous lol,off-topic,<user> <user> a word for that : infamous lol
123,'325608374370721792',Fixing to go have breakfast at morales house :). We going to eat brisket,off-topic,fixing to go have breakfast at morales house <smile> . we going to eat brisket
124,'328223450441318400',"I don't want to waste foreverFor half hearted goodbyes, the rumors, or the lies..",off-topic,"i do n't want to waste foreverfor half hearted goodbyes , the rumors , or the lies . <repeat>"
125,'324745415775887360',I wish I could donate blood. :(,off-topic,i wish i could donate blood . <sadface>
126,'326108374460690432',Lol about that spot I left in his bed....  nvm he prolly washed his sheets,off-topic,lol about that spot i left in his bed . <repeat> nvm he prolly washed his sheets
127,'326354045931487232',Niggas talk down on kream but when they see us in person they try &amp; be friendly,off-topic,niggas talk down on kream but when they see us in person they try & be friendly
128,'327099399362715650',These Young Hoes Be Confused af,off-topic,these young hoes be confused af
129,'327108160936636416',@kushhh2013 go for it I'm not going to lie to you I got you cuz,off-topic,<user> go for it i 'm not going to lie to you i got you cuz
130,'325712876964806657',Twitter Is Dead Right Now !,off-topic,twitter is dead right now !
131,'324362038866505728',But of course ! @jazzzmyn55: What @TomCatOnTop name means http://t.co/XjcDHPfyoH,off-topic,but of course ! <user> : what <user> name means <url>
132,'327401869758578688',@eharviny holy shit.. Tell me how it looks,off-topic,<user> holy shit . <repeat> tell me how it looks
133,'325262262665363456',"@ItsYonnie_: No new bitches, No new niggas. NO friendly shit !",off-topic,"<user> : no new bitches , no new niggas . no <allcaps> friendly shit !"
134,'328286215335972867',@franchesstuh_: I know I have a vagina but I'm going to need you to suck my sick! Sick.,off-topic,<user> : i know i have a vagina but i 'm going to need you to suck my sick ! sick .
135,'327179210282106882',The Fact that my nail hurt &lt;&lt;,off-topic,the fact that my nail hurt < <
136,'326108241253761024',My Nigga TwOo4 laced me up ona tweets but i was already peeping,off-topic,my nigga twoo <number> laced me up ona tweets but i was already peeping
137,'327483411134570496',Couple streets down from the president .. I'm COOL bitch,off-topic,couple streets down from the president . <repeat> i 'm cool <allcaps> bitch
138,'326478091872530433',&amp; I'm Off Tomorrow Turnt Up,off-topic,& i 'm off tomorrow turnt up
139,'325296233478496258',Add me on Find Friends... It's not creepy if everybody does it! #shouldbestalkfriends,off-topic,add me on find friends . <repeat> it 's not creepy if everybody does it ! <hashtag> shouldbestalkfriends
140,'324738702083510273',@raveandrollhard there's a storm coming tonight and its going to bring all the chemicals in the air this way..,on-topic,<user> there 's a storm coming tonight and its going to bring all the chemicals in the air this way . <repeat>
141,'324312069790908416',"@megangorgas: there's only one @eewade #irreplaceable #lylas  my tallest, funniest friend you know it gorgeous gorgas",off-topic,"<user> : there 's only one <user> <hashtag> irreplaceable <hashtag> lylas my tallest , funniest friend you know it gorgeous gorgas"
142,'326675217084715009',I'm at school early nshit,off-topic,i 'm at school early nshit
143,'326912945189699584',@BonaFideBeauty you and your within dress code ass freakem dress can two step out my mentions now,off-topic,<user> you and your within dress code ass freakem dress can two step out my mentions now
144,'327208228964421632',My important people collage from MySpace... ha. http://t.co/vkXxxwQglD,off-topic,my important people collage from myspace . <repeat> ha . <url>
145,'326946413739130880',It's in my bathroom now...@jazzzmyn55: This smell is killing me!!!,off-topic,it 's in my bathroom now . <repeat> <user> : this smell is killing me ! <repeat>
146,'327204507417182208',University Parks Dr getting ready for the big memorial service tomorrow. #west #bigdayatbaylor @ http://t.co/4PILDTJFHJ,off-topic,university parks dr getting ready for the big memorial service tomorrow . <hashtag> west <hashtag> bigdayatbaylor @ <url>
147,'324912948218830849',In My Safe Place Lol,off-topic,in my safe place lol
148,'324739232524546048',@theisaiahbell apparently 70 are dead but that's for now,on-topic,<user> apparently <number> are dead but that 's for now
149,'325443041424982016',Gotta see a million !,off-topic,got ta see a million !
150,'328165812806496258',Khelsea didn't even wanna hold a bitch down,off-topic,khelsea did n't even wan na hold a bitch down
151,'327263425103278080',Pau is throwing elbows all over,off-topic,pau is throwing elbows all over
152,'325542265609142272',Damn didn't even plan on smoking today but hey shit happens! #StartingEarly,off-topic,damn did n't even plan on smoking today but hey shit happens ! <hashtag> startingearly
153,'327460619093700608',Honor the men and women who served in West. #WestTX #prayforwest @ Ferrell Center http://t.co/qSC2xBP6xt,on-topic,honor the men and women who served in west . <hashtag> westtx <allcaps> <hashtag> prayforwest @ ferrell center <url>
154,'324903063578083330',RT @karisafication: DIA 2013: the wetter the better @MsDana_Marie,off-topic,rt <allcaps> <user> : dia <allcaps> <number> the wetter the better <user>
155,'327540905324199937',Gotta get this money ! Understand me ?,off-topic,got ta get this money ! understand me ?
156,'328229211489841153',"4. Do not settle. If it feels like he is stringing you along, then he probably is.",off-topic,"<number> do not settle . if it feels like he is stringing you along , then he probably is ."
157,'325998904946601985',"Its funny how they wait until you gone., Just to miss you.",off-topic,"its funny how they wait until you gone. , just to miss you ."
158,'324583986556964864',She say she only fucked 4-5 niggas so you know you gotta multiply by 3 !!,off-topic,she say she only fucked <number> <number> niggas so you know you got ta multiply by <number> ! <repeat>
159,'325424801890050049',Bro we play so late tomorrow,off-topic,bro we play so late tomorrow
160,'327323669305126912',The level of home I have reached is unreal. #thankyouGod,off-topic,the level of home i have reached is unreal . <hashtag> thankyougod
161,'326563715531042816',Why text other girls when I got you,off-topic,why text other girls when i got you
162,'326507230964895744',@YBLU_TR but I like my relationship with money and alcohol lol. I'm just playing but really I like money,off-topic,<user> but i like my relationship with money and alcohol lol . i 'm just playing but really i like money
163,'324702053769293824',I've got a flock of haters and I love it... I heard about it and smiled :) I feel giddy about my new fan club @ducidni,off-topic,i 've got a flock of haters and i love it . <repeat> i heard about it and smiled <smile> i feel giddy about my new fan club <user>
164,'324755946339434496',my family &amp; friends are bruised &amp; slightly damaged but ALIVE &amp; ok.. maybe now i can rest with a little bit more ease..,on-topic,my family & friends are bruised & slightly damaged but alive <allcaps> & ok . <repeat> maybe now i can rest with a little bit more ease . <repeat>
165,'326316726021132288',My Pussy Smell Like Cherry's and U.O.E.N.I,off-topic,my pussy smell like cherry 's and u.o.e.n.i
166,'326571322631139328',Dax gone make it den I can be like I played the game w/ this nigga and went too the same school,off-topic,dax gone make it den i can be like i played the game w / this nigga and went too the same school
167,'325264207740301313',@DeannaCalder me too. We didn't even have a quiz,off-topic,<user> me too . we did n't even have a quiz
168,'327948518142656512',"Thought of you, madmad13_xoxo (no, really....really me ), but I thought@you you when I saw it and http://t.co/93anE8VZui",off-topic,"thought of you , madmad <number> _ xoxo -LRB- no , really . <repeat> really me -RRB- , but i thought <user> you when i saw it and <url>"
169,'328030537761562624',Oomf stopped tweeting cause he knows ima get on that,off-topic,oomf stopped tweeting cause he knows ima get on that
170,'327551235957866497',Then Ima make these peanut butter cookies,off-topic,then ima make these peanut butter cookies
171,'325698228215480320',@SanyaRichiRoss ill run faster if you do,off-topic,<user> ill run faster if you do
172,'324561597060239360',So many decisions!!!!Either get my prom dress this weekend or go see motionless in white with bekuh,off-topic,so many decisions ! <repeat> either get my prom dress this weekend or go see motionless in white with bekuh
173,'325991952967426048',A female who bout her money &gt;&gt;&gt; ooowieee,off-topic,a female who bout her money > > > ooowie <elong>
174,'327925920881070080',@khailinnkhi3 lol it wasnt bad it was just real random,off-topic,<user> lol it wasnt bad it was just real random
175,'327314780736086017',"@Lo1060Michelle if anything there's 2 of us now. I don't mind sharing, with good people.",off-topic,"<user> if anything there 's <number> of us now . i do n't mind sharing , with good people ."
176,'326004798430265344',"I miss my boyfriend. Like, I hate only seeing him every other weekend. -.-",off-topic,"i miss my boyfriend . like , i hate only seeing him every other weekend . - . -"
177,'324688793846284289',Little girl standing on the seal in the SUB: Do they have this blocked bc you'll drop into a dungeon? Worse. You won't graduate. #buprobs,off-topic,little girl standing on the seal in the sub <allcaps> : do they have this blocked bc you 'll drop into a dungeon ? worse . you wo n't graduate . <hashtag> buprobs
178,'324734955714379776',My prayers gone be extra long tonight.!,off-topic,my prayers gone be extra long tonight ! <repeat>
179,'325427584856883201',Slangin rocks in the sand box since 98!,off-topic,slangin rocks in the sand box since <number> !
180,'324638381013364736',Just saw a girl in a UF tank #goGata,off-topic,just saw a girl in a uf <allcaps> tank <hashtag> gogata
181,'327196279161622528',Tonight it's $2 you call it's from 7-2 ....let's go (@ C&amp;R Sports Bar) http://t.co/OZpORSqMb1,off-topic,tonight it 's $ <number> you call it 's from <number> <number> . <repeat> let 's go -LRB- @ c & r sports bar -RRB- <url>
182,'326030330869985280',Trigga finger itchin ill scratch it nigga,off-topic,trigga finger itchin ill scratch it nigga
183,'327988307751493632',"Perkins funny as hell man, I miss him",off-topic,"perkins funny as hell man , i miss him"
184,'326106086493016064',"I got money, hoes. Money and hoes.",off-topic,"i got money , hoes . money and hoes ."
185,'327226778890407938',The Chik-fil-a line right about now is making me repent for all things I've ever done wrong..,off-topic,the chik-fil-a line right about now is making me repent for all things i 've ever done wrong . <repeat>
186,'327801975423004672',@C_Smith993 I see what you did there,off-topic,<user> i see what you did there
187,'326565572768825345',@apple3swagg least you know I be listening,off-topic,<user> least you know i be listening
188,'325041438809284608',@JussCallME_CeCe yeah i see how it is,off-topic,<user> yeah i see how it is
189,'326002352161161216',Today I shall not give 2 fucks on anything  #chillinlikeavillian,off-topic,today i shall not give <number> fucks on anything <hashtag> chillinlikeavillian
190,'326923633064816640',ill feel better after tomorrow is over &amp; im back in scrubs. #goodnight,off-topic,ill feel better after tomorrow is over & im back in scrubs . <hashtag> goodnight
191,'326018620012515328',"@xxcantbesavedxx hahaha I know, I'm just havin fun  my mans in the navy &amp; I made a navy joke all fun &amp; games",off-topic,"<user> hahaha i know , i 'm just havin fun my mans in the navy & i made a navy joke all fun & games"
